DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,66,4,2148903978684951.5,2.330422691087529e+16,98270235,69614046,21867292,334763285,6459620000000,627272007,pass
2,256 20,6 44,66,4,2148903978684951.5,2.3307662677774324e+16,98270235,69624309,21867292,334763285,8074520000000,627272007,pass
3,256 24,6 40,66,4,2148903978684951.5,2.331178559805319e+16,98270235,69636625,21867292,334763285,9689420000000,627272007,pass
4,256 28,6 36,66,4,2148903978684951.5,2.3316824722838444e+16,98270235,69651678,21867292,334763285,11304300000000,627272007,pass
5,256 32,6 32,66,4,2148903978684951.5,2.3323123628820024e+16,98270235,69670494,21867292,334763285,12919200000000,627272007,pass
6,256 36,6 28,66,4,2148903978684951.5,2.33312222222249e+16,98270235,69694686,21867292,334763285,14534100000000,627272007,pass
7,256 40,6 24,66,4,2148903978684951.5,2.334202034676476e+16,98270235,69726942,21867292,334763285,16149000000000,627272007,pass
8,256 44,6 20,66,4,2148903978684951.5,2.335713772112056e+16,98270235,69772100,21867292,334763285,17763900000000,627272007,pass
9,256 48,6 16,66,4,2148903978684951.5,2.3379813782654228e+16,98270235,69839838,21867292,334763285,19378800000000,627272007,pass
10,256 16,7 48,65,5,2009372148448828.0,3.0834796927683308e+16,93293595,71471911,21538157,431425386,6459620000000,1073600165,pass
11,256 20,7 44,65,5,2009372148448828.0,3.0839224764085628e+16,93293595,71482174,21538157,431425386,8074520000000,1073600165,pass
12,256 24,7 40,65,5,2009372148448828.0,3.0844538167768444e+16,93293595,71494490,21538157,431425386,9689420000000,1073600165,pass
13,256 28,7 36,65,5,2009372148448828.0,3.085103232782518e+16,93293595,71509543,21538157,431425386,11304300000000,1073600165,pass
14,256 32,7 32,65,5,2009372148448828.0,3.0859150027896116e+16,93293595,71528359,21538157,431425386,12919200000000,1073600165,pass
15,256 36,7 28,65,5,2009372148448828.0,3.086958707084445e+16,93293595,71552551,21538157,431425386,14534100000000,1073600165,pass
16,256 40,7 24,65,5,2009372148448828.0,3.088350312810892e+16,93293595,71584807,21538157,431425386,16149000000000,1073600165,pass
17,256 44,7 20,65,5,2009372148448828.0,3.090298560827918e+16,93293595,71629965,21538157,431425386,17763900000000,1073600165,pass
18,256 48,7 16,65,5,2009372148448828.0,3.0932209328534532e+16,93293595,71697703,21538157,431425386,19378800000000,1073600165,pass
19,256 16,8 48,65,5,2009372148448828.0,3.0834796927683308e+16,93293595,71471911,21538157,431425386,6459620000000,1073600165,pass
20,256 20,8 44,65,5,2009372148448828.0,3.0839224764085628e+16,93293595,71482174,21538157,431425386,8074520000000,1073600165,pass
21,256 24,8 40,65,5,2009372148448828.0,3.0844538167768444e+16,93293595,71494490,21538157,431425386,9689420000000,1073600165,pass
22,256 28,8 36,65,5,2009372148448828.0,3.085103232782518e+16,93293595,71509543,21538157,431425386,11304300000000,1073600165,pass
23,256 32,8 32,65,5,2009372148448828.0,3.0859150027896116e+16,93293595,71528359,21538157,431425386,12919200000000,1073600165,pass
24,256 36,8 28,65,5,2009372148448828.0,3.086958707084445e+16,93293595,71552551,21538157,431425386,14534100000000,1073600165,pass
25,256 40,8 24,65,5,2009372148448828.0,3.088350312810892e+16,93293595,71584807,21538157,431425386,16149000000000,1073600165,pass
26,256 44,8 20,65,5,2009372148448828.0,3.090298560827918e+16,93293595,71629965,21538157,431425386,17763900000000,1073600165,pass
27,256 48,8 16,65,5,2009372148448828.0,3.0932209328534532e+16,93293595,71697703,21538157,431425386,19378800000000,1073600165,pass
28,256 16,9 48,65,5,2009372148448828.0,3.0834796927683308e+16,93293595,71471911,21538157,431425386,6459620000000,1073600165,pass
29,256 20,9 44,65,5,2009372148448828.0,3.0839224764085628e+16,93293595,71482174,21538157,431425386,8074520000000,1073600165,pass
30,256 24,9 40,65,5,2009372148448828.0,3.0844538167768444e+16,93293595,71494490,21538157,431425386,9689420000000,1073600165,pass
31,256 28,9 36,65,5,2009372148448828.0,3.085103232782518e+16,93293595,71509543,21538157,431425386,11304300000000,1073600165,pass
32,256 32,9 32,65,5,2009372148448828.0,3.0859150027896116e+16,93293595,71528359,21538157,431425386,12919200000000,1073600165,pass
33,256 36,9 28,65,5,2009372148448828.0,3.086958707084445e+16,93293595,71552551,21538157,431425386,14534100000000,1073600165,pass
34,256 40,9 24,65,5,2009372148448828.0,3.088350312810892e+16,93293595,71584807,21538157,431425386,16149000000000,1073600165,pass
35,256 44,9 20,65,5,2009372148448828.0,3.090298560827918e+16,93293595,71629965,21538157,431425386,17763900000000,1073600165,pass
36,256 48,9 16,65,5,2009372148448828.0,3.0932209328534532e+16,93293595,71697703,21538157,431425386,19378800000000,1073600165,pass
37,256 16,10 48,65,5,2009372148448828.0,3.0834796927683308e+16,93293595,71471911,21538157,431425386,6459620000000,1073600165,pass
38,256 20,10 44,65,5,2009372148448828.0,3.0839224764085628e+16,93293595,71482174,21538157,431425386,8074520000000,1073600165,pass
39,256 24,10 40,65,5,2009372148448828.0,3.0844538167768444e+16,93293595,71494490,21538157,431425386,9689420000000,1073600165,pass
40,256 28,10 36,65,5,2009372148448828.0,3.085103232782518e+16,93293595,71509543,21538157,431425386,11304300000000,1073600165,pass
41,256 32,10 32,65,5,2009372148448828.0,3.0859150027896116e+16,93293595,71528359,21538157,431425386,12919200000000,1073600165,pass
42,256 36,10 28,65,5,2009372148448828.0,3.086958707084445e+16,93293595,71552551,21538157,431425386,14534100000000,1073600165,pass
43,256 40,10 24,65,5,2009372148448828.0,3.088350312810892e+16,93293595,71584807,21538157,431425386,16149000000000,1073600165,pass
44,256 44,10 20,65,5,2009372148448828.0,3.090298560827918e+16,93293595,71629965,21538157,431425386,17763900000000,1073600165,pass
45,256 48,10 16,65,5,2009372148448828.0,3.0932209328534532e+16,93293595,71697703,21538157,431425386,19378800000000,1073600165,pass
46,256 16,11 48,59,11,1351260871917310.8,1.6820249819758374e+17,72570555,191010568,18619960,880592625,6459620000000,3003667880,pass
47,256 20,11 44,59,11,1351260871917310.8,1.6821153595986125e+17,72570555,191020831,18619960,880592625,8074520000000,3003667880,pass
48,256 24,11 40,59,11,1351260871917310.8,1.6822238127459434e+17,72570555,191033147,18619960,880592625,9689420000000,3003667880,pass
49,256 28,11 36,59,11,1351260871917310.8,1.68235636659268e+17,72570555,191048200,18619960,880592625,11304300000000,3003667880,pass
50,256 32,11 32,59,11,1351260871917310.8,1.682522058901101e+17,72570555,191067016,18619960,880592625,12919200000000,3003667880,pass
51,256 36,11 28,59,11,1351260871917310.8,1.6827350918690714e+17,72570555,191091208,18619960,880592625,14534100000000,3003667880,pass
52,256 40,11 24,59,11,1351260871917310.8,1.6830191358263648e+17,72570555,191123464,18619960,880592625,16149000000000,3003667880,pass
53,256 44,11 20,59,11,1351260871917310.8,1.683416797366576e+17,72570555,191168623,18619960,880592625,17763900000000,3003667880,pass
54,256 48,11 16,59,11,1351260871917310.8,1.6840132896768918e+17,72570555,191236360,18619960,880592625,19378800000000,3003667880,pass
55,256 16,12 48,51,19,808374461606724.8,3.626059402504733e+17,48979035,272698379,16504499,1329695982,6459620000000,3449996039,pass
56,256 20,12 44,51,19,808374461606724.8,3.626195872829865e+17,48979035,272708643,16504499,1329695982,8074520000000,3449996039,pass
57,256 24,12 40,51,19,808374461606724.8,3.626359637220024e+17,48979035,272720959,16504499,1329695982,9689420000000,3449996039,pass
58,256 28,12 36,51,19,808374461606724.8,3.6265597936968845e+17,48979035,272736011,16504499,1329695982,11304300000000,3449996039,pass
59,256 32,12 32,51,19,808374461606724.8,3.6268099892929606e+17,48979035,272754827,16504499,1329695982,12919200000000,3449996039,pass
60,256 36,12 28,51,19,808374461606724.8,3.627131669345058e+17,48979035,272779019,16504499,1329695982,14534100000000,3449996039,pass
61,256 40,12 24,51,19,808374461606724.8,3.627560576081188e+17,48979035,272811275,16504499,1329695982,16149000000000,3449996039,pass
