latency,area,power,energy
1774910.4185502145,6499849.19743787,0.31338590735088756,183261.4046159754
3605234.4185502147,6499849.19743787,1.5856599278195267,1141568.7269153441
276108.0,6499849.19743787,0.008762945097633135,905.6642768094083
1781113.2092751141,6499849.19743787,2.8891599747781065,999380.8377221453
2426233.2092751144,12999698.39487574,9.237783703515976,3440171.7039754293
147672.0,6499849.19743787,0.008762945097633135,447.78594682970413
607198.3023187781,19499547.59231361,13.856675555273965,1290430.5272343904
607198.3023187781,32499245.987189353,23.09445925878994,2150717.54539065
607198.3023187781,32499245.987189353,23.09445925878994,2150717.54539065
80880.0,6499849.19743787,0.008762945097633135,227.18497226485206
152119.57557969453,64998491.974378705,46.18891851757988,1075969.003101324
152119.57557969453,123497134.75131954,87.75894518340178,2044341.1058925157
152119.57557969453,123497134.75131954,87.75894518340178,2044341.1058925157
51552.0,6499849.19743787,0.008762945097633135,114.90928567242604
38189.89389492363,123497134.75131954,87.75894518340178,511664.9953588291
38189.89389492363,123497134.75131954,87.75894518340178,511664.9953588291
38189.89389492363,123497134.75131954,87.75894518340178,511664.9953588291
84832.4734737309,415990348.6360237,295.7331547190154,433383.70543448656
86377.4734737309,831980697.2720474,591.4663094380307,866767.4108689731
34145.473473730905,207995174.31801185,147.8665773595077,216691.85271724328
14850989.99145215,2281447068.3006926,1594.1563213178515,19574433.005709708
0.0,0.0,0.0,0.0
