DSE index,layers,latency,area,power,energy,"HW (tiles, bw)",restraint
0,19,13355539.76324544,2560940583.790521,1792.7686709434452,24281156.652351703,32 64,pass
1,0,0.0,0.0,0.0,0.0,6 48,fail
2,0,0.0,0.0,0.0,0.0,6 44,fail
3,0,0.0,0.0,0.0,0.0,6 40,fail
4,0,0.0,0.0,0.0,0.0,6 36,fail
5,0,0.0,0.0,0.0,0.0,6 32,fail
6,0,0.0,0.0,0.0,0.0,6 28,fail
7,0,0.0,0.0,0.0,0.0,6 24,fail
8,0,0.0,0.0,0.0,0.0,6 20,fail
9,0,0.0,0.0,0.0,0.0,6 16,fail
10,0,0.0,0.0,0.0,0.0,7 48,fail
11,0,0.0,0.0,0.0,0.0,7 44,fail
12,0,0.0,0.0,0.0,0.0,7 40,fail
13,0,0.0,0.0,0.0,0.0,7 36,fail
14,0,0.0,0.0,0.0,0.0,7 32,fail
15,0,0.0,0.0,0.0,0.0,7 28,fail
16,0,0.0,0.0,0.0,0.0,7 24,fail
17,0,0.0,0.0,0.0,0.0,7 20,fail
18,0,0.0,0.0,0.0,0.0,7 16,fail
19,0,0.0,0.0,0.0,0.0,8 48,fail
20,0,0.0,0.0,0.0,0.0,8 44,fail
21,0,0.0,0.0,0.0,0.0,8 40,fail
22,0,0.0,0.0,0.0,0.0,8 36,fail
23,0,0.0,0.0,0.0,0.0,8 32,fail
24,0,0.0,0.0,0.0,0.0,8 28,fail
25,0,0.0,0.0,0.0,0.0,8 24,fail
26,0,0.0,0.0,0.0,0.0,8 20,fail
27,0,0.0,0.0,0.0,0.0,8 16,fail
28,2,184735.04905342543,955477832.0233668,679.2252546214326,2911108.5167614887,9 48,pass
29,2,186550.32178069817,955477832.0233668,679.2252546214326,2911108.5167614887,9 44,pass
30,2,188728.64905342544,955477832.0233668,679.2252546214326,2911108.5167614887,9 40,pass
31,2,191391.04905342543,955477832.0233668,679.2252546214326,2911108.5167614887,9 36,pass
32,2,194719.04905342543,955477832.0233668,679.2252546214326,2911108.5167614887,9 32,pass
33,2,198997.9061962826,955477832.0233668,679.2252546214326,2911108.5167614887,9 28,pass
34,2,204703.04905342543,955477832.0233668,679.2252546214326,2911108.5167614887,9 24,pass
35,2,212690.24905342545,955477832.0233668,679.2252546214326,2911108.5167614887,9 20,pass
36,2,224671.04905342543,955477832.0233668,679.2252546214326,2911108.5167614887,9 16,pass
