DSE index,"DLA HW (pes, bw)","RRAM HW (tiles, bw)",DLA layernum,RRAM layernum,DLA EDP,RRAM EDP,DLA latency,RRAM latency,DLA energy,RRAM energy,DLA area,RRAM area,restraint
1,256 16,6 48,13,6,8448232614817080.0,30041148721013.688,416253360,2386961,20295890,12585518,6459620000000,480988840,pass
2,256 20,6 44,13,6,8448232614817080.0,30053011143843.03,416253360,2387904,20295890,12585518,8074520000000,480988840,pass
3,256 24,6 40,13,6,8448232614817080.0,30067246051238.246,416253360,2389035,20295890,12585518,9689420000000,480988840,pass
4,256 28,6 36,13,6,8448232614817080.0,30084644271387.95,416253360,2390417,20295890,12585518,11304300000000,480988840,pass
5,256 32,6 32,13,6,8448232614817080.0,30106392046575.08,416253360,2392145,20295890,12585518,12919200000000,480988840,pass
6,256 36,6 28,13,6,8448232614817080.0,30134353471815.67,416253360,2394367,20295890,12585518,14534100000000,480988840,pass
7,256 40,6 24,13,6,8448232614817080.0,30171635372136.47,416253360,2397329,20295890,12585518,16149000000000,480988840,pass
8,256 44,6 20,13,6,8448232614817080.0,30223830032585.582,416253360,2401476,20295890,12585518,17763900000000,480988840,pass
9,256 48,6 16,13,6,8448232614817080.0,30302122023259.246,416253360,2407697,20295890,12585518,19378800000000,480988840,pass
10,256 16,7 48,12,7,6532921121511960.0,34687625062479.43,358745520,2539081,18210460,13661487,6459620000000,545987332,pass
11,256 20,7 44,12,7,6532921121511960.0,34700501635001.88,358745520,2540023,18210460,13661487,8074520000000,545987332,pass
12,256 24,7 40,12,7,6532921121511960.0,34715953522028.816,358745520,2541154,18210460,13661487,9689420000000,545987332,pass
13,256 28,7 36,12,7,6532921121511960.0,34734839161728.406,358745520,2542537,18210460,13661487,11304300000000,545987332,pass
14,256 32,7 32,12,7,6532921121511960.0,34758446211352.9,358745520,2544265,18210460,13661487,12919200000000,545987332,pass
15,256 36,7 28,12,7,6532921121511960.0,34788798132298.664,358745520,2546486,18210460,13661487,14534100000000,545987332,pass
16,256 40,7 24,12,7,6532921121511960.0,34829267360226.363,358745520,2549449,18210460,13661487,16149000000000,545987332,pass
17,256 44,7 20,12,7,6532921121511960.0,34885924279325.137,358745520,2553596,18210460,13661487,17763900000000,545987332,pass
18,256 48,7 16,12,7,6532921121511960.0,34970909657973.297,358745520,2559817,18210460,13661487,19378800000000,545987332,pass
19,256 16,8 48,10,9,4129364057758200.0,38407566222193.38,252577200,2615460,16348918,14684817,6459620000000,792981602,pass
20,256 20,8 44,10,9,4129364057758200.0,38421407329747.08,252577200,2616403,16348918,14684817,8074520000000,792981602,pass
21,256 24,8 40,10,9,4129364057758200.0,38438016658811.52,252577200,2617534,16348918,14684817,9689420000000,792981602,pass
22,256 28,8 36,10,9,4129364057758200.0,38458316949890.28,252577200,2618916,16348918,14684817,11304300000000,792981602,pass
23,256 32,8 32,10,9,4129364057758200.0,38483692313738.73,252577200,2620644,16348918,14684817,12919200000000,792981602,pass
24,256 36,8 28,10,9,4129364057758200.0,38516317781543.875,252577200,2622866,16348918,14684817,14534100000000,792981602,pass
25,256 40,8 24,10,9,4129364057758200.0,38559818405284.08,252577200,2625828,16348918,14684817,16149000000000,792981602,pass
26,256 44,8 20,10,9,4129364057758200.0,38620719278520.35,252577200,2629976,16348918,14684817,17763900000000,792981602,pass
27,256 48,8 16,10,9,4129364057758200.0,38712070588374.766,252577200,2636196,16348918,14684817,19378800000000,792981602,pass
28,256 16,9 48,8,11,2121080567503320.0,42283830836967.34,146408880,2691840,14487376,15708147,6459620000000,1039975871,pass
